recno_x,SNID,z,e_z,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,HR,e_HR,H08,G11,All_x,Simbad,NED,_RA,_DE,recno_y,logAl,e_logAl,logAg,e_logAg,logM,PC1,All_y,HR_corr
1,762,0.19138,2.41,24.7,23.8,23.0,22.6,22.2,0.79,0.09,0.04,0.04,0.14,0.15,0.08,1,0,All,Simbad,NED,15.53537,-0.87903,1,5.1,2.7,8.0,3.9,11.1,0.07,All,0.14343025063347675
2,1032,0.129755,3.4,24.9,24.7,23.7,23.3,22.9,0.61,0.16,0.1,0.12,0.27,-0.15,0.12,1,0,All,Simbad,NED,46.79596,1.12003,2,5.8,2.6,8.6,4.3,10.5,-1.78,All,-0.12688113514058919
3,1371,0.119343,2.62,23.2,21.5,20.4,20.0,19.6,0.16,0.02,0.01,0.01,0.02,-0.14,0.06,1,1,All,Simbad,NED,349.3739,0.42981,3,8.9,4.3,8.1,1.3,10.7,-0.82,All,0.01459701357426163
4,1794,0.14191,6.34,23.8,23.8,23.1,22.9,22.8,0.44,0.11,0.08,0.07,0.25,0.27,0.08,1,0,All,Simbad,NED,317.83687,-0.44536,4,4.0,1.4,2.0,0.9,8.8,2.2,All,0.2167767139927233
5,2372,0.180465,2.29,24.8,22.8,21.8,21.4,21.0,0.87,0.03,0.02,0.01,0.03,-0.12,0.07,1,1,All,Simbad,NED,40.52075,-0.54083,5,5.9,1.5,4.8,2.9,10.2,-0.07,All,-0.09263990453688428
6,2440,0.191139,6.0,23.7,22.9,22.4,22.0,21.9,0.21,0.03,0.03,0.02,0.08,0.2,0.08,1,0,All,Simbad,NED,42.6339,0.80734,6,3.6,1.4,4.2,0.7,10.3,0.8,All,0.12981179157790385
7,3087,0.16551,1.54,23.6,22.7,22.1,21.9,21.6,0.41,0.03,0.02,0.02,0.07,-0.06,0.06,1,0,All,Simbad,NED,20.4066,-0.97722,7,1.9,0.8,2.4,1.1,9.7,1.75,All,-0.2022891286850789
9,3317,0.161011,3.0,24.1,22.7,21.9,21.6,21.3,0.31,0.03,0.02,0.02,0.04,-0.16,0.07,1,0,All,Simbad,NED,26.9627,0.6405,8,5.4,2.3,4.4,1.7,10.0,-0.07,All,-0.15384605755540862
10,3592,0.086578,4.68,24.4,23.5,23.1,22.8,22.5,0.58,0.07,0.05,0.05,0.14,0.0,0.06,1,1,All,Simbad,NED,19.0525,0.79192,9,3.5,1.0,2.4,1.2,8.5,1.9,All,-0.07442943902580106
11,3674,0.188168,5.01,23.7,24.1,23.6,23.9,24.1,0.33,0.11,0.08,0.13,0.75,0.45,0.13,0,0,All,Simbad,NED,359.79162,0.16297,10,2.3,1.0,7.8,3.7,10.3,0.69,All,0.32467579372974054
12,3901,0.062861,8.3,21.8,20.7,20.3,20.1,20.0,0.04,0.01,0.0,0.0,0.01,0.0,0.08,1,0,All,Simbad,NED,14.8504,0.00262,11,3.2,0.6,1.2,0.3,9.6,1.73,All,-0.08715313083691564
13,4019,0.181404,4.63,24.6,24.4,23.5,23.9,22.9,0.8,0.18,0.12,0.28,0.36,-0.05,0.08,0,0,All,Simbad,NED,1.26193,1.14629,12,3.1,1.3,4.6,1.5,10.9,0.3,All,-0.1413943614406205
14,5103,0.161989,1.01,24.0,23.4,23.1,22.8,22.9,0.33,0.07,0.06,0.06,0.22,-0.08,0.06,1,1,All,Simbad,NED,359.884,0.73692,13,2.5,1.0,3.4,1.2,8.9,1.8,All,-0.19684174506284968
15,5550,0.156291,1.46,23.9,23.4,22.8,22.6,22.7,0.38,0.07,0.04,0.04,0.18,0.14,0.07,1,0,All,Simbad,NED,3.59834,0.33308,14,2.0,1.0,1.3,0.5,9.5,2.63,All,0.0019521019186259925
16,5751,0.130555,1.34,23.2,21.9,20.9,20.5,20.1,0.13,0.01,0.01,0.01,0.01,-0.04,0.06,1,0,All,Simbad,NED,11.63446,0.83817,15,6.7,1.3,5.9,2.7,10.4,-0.34,All,0.02128994029275462
17,5890,0.179972,1.56,24.3,25.0,23.6,23.3,22.9,0.48,0.31,0.1,0.11,0.25,0.12,0.08,0,0,All,Simbad,NED,332.51566,0.6092,16,3.5,1.5,5.3,2.2,10.5,0.56,All,0.04557056097419894
18,5916,0.174074,1.92,23.2,21.7,20.5,20.0,19.7,0.2,0.02,0.01,0.01,0.01,-0.21,0.07,1,0,All,Simbad,NED,5.43708,-0.325,17,8.4,4.0,6.0,2.3,10.7,-1.51,All,-0.07660913944426267
19,5944,0.045915,1.6,23.7,23.1,22.4,22.1,21.9,0.16,0.03,0.02,0.02,0.06,0.12,0.08,1,1,All,Simbad,NED,29.1999,-0.21351,18,6.0,1.9,6.0,0.7,10.7,-0.05,All,0.15160132606682056
20,6057,0.067072,8.85,23.0,21.8,21.1,20.8,20.5,0.2,0.01,0.01,0.01,0.03,-0.07,0.09,1,0,All,Simbad,NED,52.5537,-0.97449,19,6.3,1.3,4.8,1.0,10.0,-0.45,All,-0.025674982122064857
21,6406,0.124488,1.26,23.4,21.9,21.0,20.5,20.2,0.29,0.02,0.01,0.01,0.02,-0.1,0.07,1,0,All,Simbad,NED,46.0886,-1.06302,20,6.4,1.9,3.7,1.7,10.3,-0.29,All,-0.05143375151835997
22,6422,0.186455,2.92,23.6,23.1,22.5,22.1,21.7,0.62,0.06,0.04,0.03,0.08,0.05,0.07,1,0,All,Simbad,NED,349.139,-0.66337,21,3.1,1.1,3.1,1.2,9.7,1.64,All,-0.0413943614406205
23,6530,0.194825,6.48,25.4,22.4,21.2,20.7,20.3,1.47,0.03,0.01,0.01,0.03,-0.13,0.1,0,0,All,Simbad,NED,14.3291,0.02136,22,8.1,2.2,7.9,3.7,10.1,-1.48,All,-0.009332831255377302
24,6558,0.057385,1.27,22.8,21.8,21.1,20.7,20.6,0.19,0.02,0.01,0.01,0.03,0.06,0.08,1,0,All,Simbad,NED,21.70167,-1.23811,23,6.2,3.8,6.5,2.6,9.6,0.9,All,0.10008378727423028
25,6936,0.180212,2.67,23.4,23.0,22.3,22.0,21.5,0.27,0.05,0.03,0.03,0.08,0.0,0.07,1,1,All,Simbad,NED,323.234,-0.70006,24,3.1,2.0,5.0,1.3,10.2,0.82,All,-0.0913943614406205
26,6962,0.09422,1.49,21.8,20.1,19.1,18.7,18.3,0.05,0.01,0.0,0.0,0.01,-0.04,0.07,1,0,All,Simbad,NED,38.86075,1.07456,25,7.0,0.9,3.2,3.1,10.9,-1.8,All,0.0340136321038692
27,7147,0.110217,1.98,22.9,21.1,20.0,19.6,19.2,0.14,0.01,0.0,0.0,0.01,-0.18,0.08,1,0,All,Simbad,NED,350.01862,-0.05561,26,9.6,4.3,9.2,4.2,10.4,-2.51,All,0.004285627800195674
28,7600,0.188077,3.27,24.1,22.1,20.8,20.2,19.9,0.71,0.02,0.01,0.01,0.02,-0.3,0.1,0,0,All,Simbad,NED,347.614,-1.10769,27,8.2,4.0,7.9,3.8,10.8,-2.68,All,-0.17509160065167245
29,7876,0.076023,1.05,22.4,21.6,21.3,21.0,20.9,0.08,0.02,0.01,0.01,0.03,0.01,0.07,1,0,All,Simbad,NED,19.1823,0.79454,28,3.3,0.9,1.3,0.5,7.7,2.98,All,-0.0729119002332108
30,8213,0.186112,6.42,25.2,24.0,22.7,22.1,21.7,1.44,0.13,0.04,0.03,0.09,-0.24,0.09,1,1,All,Simbad,NED,357.52096,-0.92142,29,8.0,3.8,7.4,3.6,10.0,-1.23,All,-0.12357406185908214
31,8254,0.189195,1.79,23.8,22.9,22.2,21.9,21.8,0.37,0.04,0.03,0.03,0.08,0.07,0.11,0,0,All,Simbad,NED,351.164,0.81997,30,3.7,1.4,4.1,0.9,9.7,0.4,All,0.00405302218160869
32,8555,0.197704,1.53,23.0,22.3,21.6,21.3,21.1,0.13,0.02,0.01,0.01,0.03,0.19,0.1,0,0,All,Simbad,NED,2.9156,-0.41503,31,4.5,0.7,4.1,1.4,9.9,-0.31,All,0.15798286701124759
33,8719,0.117566,7.0,23.3,22.8,22.4,22.1,21.8,0.22,0.03,0.03,0.03,0.08,0.04,0.06,1,1,All,Simbad,NED,7.72147,-0.71882,32,2.6,1.1,4.7,1.0,9.3,1.66,All,-0.07260051445914484
34,8921,0.145387,1.51,22.8,21.7,21.1,20.7,20.5,0.12,0.02,0.01,0.01,0.03,0.09,0.07,1,0,All,Simbad,NED,325.002,-0.00804,33,4.9,2.2,3.4,1.0,10.1,0.71,All,0.07494778942606706
35,10028,0.065392,9.5,21.2,19.5,18.6,18.3,18.0,0.04,0.0,0.0,0.0,0.0,-0.21,0.09,1,0,All,Simbad,NED,17.74192,0.27619,34,6.3,0.7,6.0,0.9,10.5,-1.12,All,-0.16567498212206483
36,10805,0.045248,7.5,21.4,20.5,20.0,19.6,19.4,0.05,0.01,0.01,0.01,0.01,-0.12,0.1,1,0,All,Simbad,NED,344.92754,0.01369,35,4.0,1.8,6.0,0.6,9.9,0.4,All,-0.1732232860072767
37,11172,0.136329,9.4,22.0,21.0,20.5,20.2,20.0,0.08,0.01,0.01,0.01,0.02,0.24,0.1,0,0,All,Simbad,NED,322.413,-0.20219,36,5.0,0.4,4.5,0.4,10.2,-0.66,All,0.2291890200297719
38,12860,0.121679,1.29,24.4,23.2,22.5,22.2,21.8,0.59,0.06,0.05,0.06,0.14,0.01,0.07,0,1,All,Simbad,NED,323.695,1.17542,37,5.5,1.6,7.3,1.1,10.3,-0.41,All,0.020395173048296238
39,12898,0.083581,7.7,22.4,21.3,20.7,20.3,20.0,0.07,0.01,0.01,0.01,0.01,0.03,0.06,0,1,All,Simbad,NED,26.793,-0.14689,38,6.7,0.6,6.1,1.8,9.8,-0.1,All,0.09128994029275461
40,12950,0.082734,1.05,21.9,21.0,20.6,20.3,20.1,0.07,0.01,0.01,0.0,0.01,0.09,0.06,0,1,All,Simbad,NED,351.667,-0.8406,39,2.1,0.5,2.0,0.5,9.8,1.19,All,-0.04380666747766915
41,13135,0.104671,2.97,24.6,25.1,24.1,23.6,23.1,0.56,0.21,0.1,0.08,0.2,-0.08,0.07,0,0,All,Simbad,NED,4.17229,-0.42453,40,5.3,2.4,9.5,1.1,10.9,-1.12,All,-0.0780872881591135
42,13354,0.157625,8.42,24.2,24.4,23.6,23.0,22.8,0.61,0.14,0.07,0.05,0.18,-0.04,0.08,0,1,All,Simbad,NED,27.5647,-0.88669,41,6.1,2.9,4.9,0.6,10.3,0.18,All,-0.00415744332947459
43,13736,0.150207,2.16,24.3,24.1,23.4,23.1,23.4,0.54,0.14,0.12,0.15,0.61,0.1,0.06,0,1,All,Simbad,NED,336.833,1.03072,42,2.5,1.2,3.3,1.2,9.6,1.96,All,-0.01684174506284969
44,13896,0.157317,3.84,24.5,23.8,23.1,22.9,22.9,0.73,0.09,0.06,0.06,0.21,0.48,0.09,0,0,All,Simbad,NED,2.71286,-0.06984,43,3.9,1.5,2.6,1.2,8.5,1.28,All,0.42253548338901836
45,14279,0.045389,1.08,22.3,20.9,20.1,19.7,19.4,0.09,0.01,0.0,0.0,0.01,-0.24,0.1,0,0,All,Simbad,NED,18.48879,0.37167,44,7.3,3.6,7.4,0.7,10.4,-0.91,All,-0.1532626760850162
46,14284,0.181066,4.75,22.6,21.0,20.1,19.8,19.5,0.12,0.01,0.0,0.0,0.01,-0.34,0.08,0,0,All,Simbad,NED,49.04929,-0.60094,45,5.0,0.9,4.2,0.6,10.5,-0.21,All,-0.3508109799702281
47,14377,0.13941,1.51,24.5,23.0,22.2,21.7,21.2,0.56,0.03,0.02,0.01,0.04,0.13,0.08,0,0,All,Simbad,NED,48.26376,-0.47173,46,5.3,2.5,5.9,0.8,10.5,-0.24,All,0.13191271184088652
48,14421,0.175041,2.73,23.1,21.0,19.8,19.4,19.0,0.16,0.01,0.01,0.01,0.01,0.3,0.08,0,0,All,Simbad,NED,31.82982,1.2522,47,5.3,0.8,8.5,4.1,11.4,-1.02,All,0.30191271184088647
49,14437,0.149267,3.82,24.5,22.8,21.8,21.4,21.1,0.86,0.04,0.02,0.02,0.06,-0.04,0.06,0,1,All,Simbad,NED,332.081,-1.19633,48,6.6,2.9,7.4,3.7,9.8,0.48,All,0.01704870968904973
50,14784,0.19232,2.57,24.2,23.5,22.8,22.5,22.9,0.52,0.07,0.05,0.05,0.27,0.19,0.09,0,0,All,Simbad,NED,323.799,-0.34886,49,3.7,1.2,7.8,3.0,10.4,0.58,All,0.12405302218160869
51,14816,0.107221,1.68,23.9,22.3,21.4,21.0,20.8,0.35,0.03,0.02,0.01,0.04,-0.26,0.07,0,0,All,Simbad,NED,336.716,0.50641,50,8.5,3.7,9.2,4.4,10.4,-1.48,All,-0.12236790884055784
52,15129,0.197395,5.35,24.1,22.6,21.5,21.1,20.7,0.75,0.04,0.02,0.01,0.04,0.0,0.08,0,0,All,Simbad,NED,318.90204,-0.32172,51,4.4,2.3,1.9,1.2,10.7,-0.41,All,-0.03625836359245726
53,15136,0.148743,1.13,23.8,22.4,21.8,21.4,21.1,0.51,0.03,0.02,0.02,0.05,-0.22,0.07,0,0,All,Simbad,NED,351.16221,-0.71789,52,4.2,1.5,4.9,0.6,10.9,-0.66,All,-0.264740824799867
54,15234,0.136358,1.65,24.4,22.9,22.3,21.9,21.7,0.48,0.04,0.03,0.03,0.08,0.3,0.07,0,0,All,Simbad,NED,16.9581,0.82858,53,5.3,1.5,5.8,0.7,10.4,0.25,All,0.30191271184088647
55,15301,0.179833,3.24,24.2,23.5,22.6,22.3,22.2,0.58,0.07,0.05,0.04,0.15,0.01,0.07,0,0,All,Simbad,NED,323.58,0.58878,54,4.5,2.4,4.2,1.9,9.8,0.42,All,-0.022017132988752408
56,15365,0.187958,1.86,22.9,21.4,20.4,19.8,19.5,0.14,0.02,0.01,0.01,0.02,0.14,0.08,0,0,All,Simbad,NED,354.55662,1.24917,55,6.4,1.8,4.9,3.3,10.8,-0.26,All,0.18856624848164005
57,15421,0.185445,1.52,23.4,22.7,22.1,21.8,21.7,0.18,0.03,0.02,0.02,0.07,0.09,0.07,0,1,All,Simbad,NED,33.7413,0.60272,56,2.8,1.5,4.5,1.0,10.1,1.06,All,-0.01411805325173511
58,15425,0.159892,3.47,23.2,21.4,20.4,20.0,19.7,0.16,0.01,0.01,0.01,0.01,-0.24,0.08,0,1,All,Simbad,NED,55.56108,0.47836,57,8.7,4.0,7.9,3.8,10.4,-0.73,All,-0.09388544763314813
59,15443,0.181908,1.52,23.1,22.2,21.4,21.0,20.7,0.14,0.02,0.01,0.01,0.03,0.04,0.09,0,1,All,Simbad,NED,49.8674,-0.31799,58,5.7,0.7,5.3,1.0,10.3,0.77,All,0.058877634255705975
60,15461,0.186169,2.99,24.2,24.5,24.1,23.5,24.1,0.78,0.19,0.15,0.1,0.67,-0.05,0.07,0,1,All,Simbad,NED,326.848,-0.49476,60,3.0,1.2,4.8,2.6,11.0,0.73,All,-0.14563559204432538
61,15648,0.175017,4.14,24.6,25.3,24.2,23.5,23.3,0.66,0.32,0.15,0.1,0.32,-0.19,0.13,0,1,All,Simbad,NED,313.71881,-0.1958,61,4.6,2.1,8.3,4.0,11.0,-1.26,All,-0.21777590238504757
62,15866,0.190035,2.72,24.9,23.9,22.6,22.0,21.6,0.99,0.12,0.06,0.06,0.13,-0.09,0.1,0,0,All,Simbad,NED,338.78088,0.96804,62,7.2,3.5,8.2,4.0,10.0,-1.59,All,-0.007503906688721057
63,16021,0.124597,2.21,24.6,22.9,22.1,21.9,21.6,0.67,0.04,0.02,0.03,0.08,-0.07,0.06,0,0,All,Simbad,NED,13.8438,-0.38921,63,2.5,1.2,4.1,0.9,10.6,0.89,All,-0.1868417450628497
